Date,Open,High,Low,Close,Adj Close,Volume
11/9/2006,267.25,268.75,263.337006,265.899994,165.380234,3365420
11/10/2006,267.5,273.674988,266.274994,267.174988,166.173233,3313476
11/13/2006,267.700012,270,266.524994,268.937988,167.269684,2023316
11/14/2006,270.25,277.5,270.25,276.562012,172.011658,6003860
11/15/2006,278.75,280.5,272.638,274.200012,170.542526,2698040
11/16/2006,275,276.5,270.875,271.837006,169.072815,2101688
11/17/2006,273.5,274.375,270.299988,273.787994,170.286285,2221684
11/20/2006,271.263,280.25,266.388,279.462006,173.815323,5174936
11/21/2006,279.049988,288,278.5,287.138,178.589539,4158152
11/22/2006,288.5,292.75,283.837006,287.024994,178.519211,5591464
11/23/2006,289,292.350006,285,286.037994,177.905304,3870324
11/24/2006,287.5,289.225006,284.037994,287.5,178.814621,3205304
11/27/2006,287.5,291,287.5,290.200012,180.493988,2933708
11/28/2006,287.5,289,277.787994,287.462006,178.791046,2682960
11/29/2006,290,292.200012,287.5,291.138,181.077377,2603156
11/30/2006,293.200012,301.25,291.5,299.700012,186.402588,6254552
12/1/2006,300,300,295.312012,297.337006,184.932938,3762140
12/4/2006,300,302.75,297.5,298.100006,185.40744,2234092
12/5/2006,302.424988,302.424988,296.25,297.975006,185.329758,2116476
12/6/2006,293.049988,301.75,293.049988,299.649994,186.371429,3180856
12/7/2006,301.25,308.612,296.774994,298.575012,185.702866,2872872
12/8/2006,299.75,299.75,293.337006,294.225006,182.997421,1887268
12/11/2006,293.75,297.25,283.5,293.362,182.460571,4279432
12/12/2006,292.5,295,276.25,280.125,174.227707,5118300
12/13/2006,280.125,285.25,270.087006,280.212006,174.281815,3617220
12/14/2006,276.263,290,276.263,287.399994,178.752472,2916024
12/15/2006,292.100006,292.100006,287,290.049988,180.400665,2305716
12/18/2006,288.75,297.100006,281,295.312012,183.673447,2351424
12/19/2006,295.25,295.950012,281.25,285.462006,177.547058,3623628
12/20/2006,287.5,291.962006,278.763,282.187988,175.510727,3755660
12/21/2006,284.25,287.5,277.75,284.237,176.785233,2255816
12/22/2006,283.75,290,282.024994,288.487,179.428513,1750016
12/26/2006,288.25,298.600006,288.25,297.850006,185.251968,1797392
12/27/2006,298.75,301.5,295.263,299,185.967239,2394400
12/28/2006,301.350006,305,297,302.975006,188.439545,2418308
12/29/2006,303.362,307.350006,300.625,305.5,190.009949,1874468
1/2/2007,307.350006,314.5,304,312.125,194.130478,1545060
1/3/2007,313.25,322,309.787994,320.037994,199.052124,4384972
1/4/2007,321.25,321.25,312.524994,314.763,195.771286,3970700
1/5/2007,316.25,317.149994,313.274994,315.75,196.385132,2718740
1/8/2007,314.75,314.75,303.75,310.950012,193.399704,4951892
1/9/2007,311.975006,315.462006,306.312012,314.100006,195.358902,4020568
1/10/2007,311.138,313.75,307.5,308.850006,192.093582,2931428
1/11/2007,299.725006,324.5,299.725006,319.412994,198.663406,7400664
1/12/2007,322.537994,332.25,322.537994,330.987,205.862,6175748
1/15/2007,337.5,342,325.013,331.587006,206.235199,12255832
1/16/2007,347.237,347.237,329.75,331.024994,205.885559,7625964
1/17/2007,332.475006,333.75,325,326.162994,202.861694,2633828
1/18/2007,326.25,331.487,326.25,328.862,204.540329,2719816
1/19/2007,328.862,331.625,323.037994,324.537994,201.851028,2882056
1/22/2007,325.024994,330.600006,322.513,328.362,206.134903,3180956
1/23/2007,328.274994,328.487,325,325.674988,204.448013,3124152
1/24/2007,327.875,328.5,324.537994,326.787994,205.146713,2355148
1/25/2007,331.25,342.25,325.725006,328.862,206.448685,5553976
1/29/2007,328.75,328.75,322.75,324.437988,203.671494,2982324
1/31/2007,324.274994,328.475006,318,319.475006,200.555923,4865928
2/1/2007,322.487,323.75,318.75,323.013,202.776901,1859904
2/2/2007,324.75,326.75,323.763,325.125,204.102783,4274616
2/5/2007,326.25,328.475006,323.5,326.450012,204.93454,3010736
2/6/2007,328.25,328.475006,322.513,324.600006,203.773239,3411964
2/7/2007,325,328.100006,323.799988,326.575012,205.013046,2599984
2/8/2007,327.850006,328.725006,324.337006,326.125,204.730453,2650024
2/9/2007,327.350006,329.362,320.787994,321.850006,202.046875,1993360
2/12/2007,312.5,324.674988,312.5,313.950012,197.087509,1786388
2/13/2007,314,321.225006,308.75,313.225006,196.632263,4130352
2/14/2007,313.25,316.75,310,315.187988,197.864655,3137876
2/15/2007,316.25,325,306.274994,323.062012,202.807678,3673556
2/19/2007,325.350006,329.674988,323.799988,327.450012,205.562317,4738696
2/20/2007,328.475006,330.950012,323.75,324.888,203.95401,5400148
2/21/2007,325,327.937988,320,320.962006,201.48941,3938188
2/22/2007,325,328.100006,321.5,323.575012,203.129761,6939112
2/23/2007,323.75,324.875,318.25,319.337006,200.469238,3167688
2/26/2007,318,323.462006,308.125,321.524994,201.842819,4677684
2/27/2007,313.5,323.549988,313.5,316.037994,198.398239,4709968
2/28/2007,308.25,311.237,293,298.350006,187.294281,9347956
3/1/2007,300,317,297.600006,313.662994,196.907303,7858564
3/2/2007,313.700012,315,300.25,302.138,189.672302,5311752
3/5/2007,297.5,299.75,287.5,288.888,181.35437,5120880
3/6/2007,302.5,333.75,290.274994,299.312012,187.898178,3623920
3/7/2007,300.5,306.174988,289.350006,297.950012,187.043198,4440632
3/8/2007,297.5,307.424988,297.5,304.600006,191.217804,2274988
3/9/2007,307.075012,308.25,299.5,303.037994,190.23732,3232148
3/12/2007,306.174988,313.424988,302.75,308.75,193.823029,3636936
3/13/2007,306.375,317.225006,300.024994,316.350006,198.594116,2032088
3/14/2007,306.25,310.475006,301.25,303.388,190.45697,3824948
3/15/2007,307.5,312.75,307,308.575012,193.713226,3823288
3/16/2007,310.350006,314.462006,303.787994,309.412994,194.239273,4224284
3/19/2007,304.075012,316.187988,300.450012,315.225006,197.887817,1213696
3/20/2007,315,319.125,312,313.25,196.647995,2775592
3/21/2007,315.25,317.350006,310,316.75,198.845169,1970036
3/22/2007,319.25,326.75,319.25,325.763,204.50325,4125592
3/23/2007,328,330,320,322.049988,202.172302,5265296
3/26/2007,321.25,324.674988,313.812012,315.337006,197.958191,6098736
3/28/2007,317.475006,317.475006,298.513,300.25,188.48703,8818048
3/29/2007,297.237,314.200012,297.237,312.087006,195.918015,10266624
3/30/2007,312.087006,313.700012,305.062012,308.462006,193.642273,2807056
4/2/2007,302.5,305,296.25,297.299988,186.635147,3875896
4/3/2007,298.75,304.200012,297,300.662994,188.746338,3256852
4/4/2007,304.5,306.174988,297.600006,299.600006,188.079025,2402496
4/5/2007,299.862,301.5,296.524994,298.549988,187.419815,2533992
4/9/2007,300.125,306.687988,300.125,304.299988,191.029495,2284524
4/10/2007,304.299988,306.25,298.837006,299.337006,187.913895,3480240
